Grapes,25 grapes,grapes.jpg,120,s
Hummus & Carrots,2/3 cup hummus (2 small carrots),hummus_and_carrots.jpg,155,s
Multi Grain Bread,2 pieces,multi_grain_bread.jpg,166,s
Orange,1 medium orange,oranges.jpg,186,s
Peanut Butter,2 1/2 oz.,peanut_butter.jpg,164,s
Peanuts,25 peanuts,peanuts.jpg,121,s
Pumpkin or Sunflower Seeds30 seeds,,pumpkin_or_sunflower_seeds,113,s
Raisins,30 raisins,raisins.jpg,100,s
Rice Cake and Peanut Butter,1 cake (2 oz. p. butter),rice_cake_and_peanut_butter.jpg,158,s
String Cheese,2 pieces,string_cheese.jpg,100,s
String Cheese and Crackers,2 crackers and 2 pieces cheese,string_cheese_and_crackers.jpg,130,s
Tuna Salad,8 oz ,tuna_salad.jpg,188,s
Tuna Salad and Crackers,6 oz.  and 3 crackers,tuna_salad_and_crackers.jpg,166,s
Wheat Thins and Peanut Butter,2 oz.,wheat_thins_peanut_butter.jpg,177,s
Yogurt and Apples,8 oz.,yogurt_and_apples.jpg,123,s
Yogurt and Grapenuts,1 cup,yogurt_with_grapenuts.jpg,221,s,on phone sorry
